power_id,base_id,base_lat,base_lon,bts_id,bts_lat,bts_lon,distance_km,total_time_hr,total_travel_cost_vnd,optimize_for,note
POWER_0001,BASE_6,16.2893818,107.832841,BTS_04349,16.67958360261499,107.407082183705,72.56944009949137,1.567347254904589,334272.70418307796,time,
POWER_0001,BASE_6,16.2893818,107.832841,BTS_06156,16.498750270004987,107.501248849995,48.136517905330614,1.020940508064463,196145.97649386115,time,
POWER_0001,BASE_6,16.2893818,107.832841,BTS_04618,16.386666937127384,107.5754155162973,39.692305181622906,0.8320830087693194,148387.80474530265,time,
POWER_0001,BASE_6,16.2893818,107.832841,BTS_03549,16.527916936554973,107.519582183255,46.90611344759743,1.014936622933906,218609.16752038506,time,
POWER_0001,BASE_6,16.2893818,107.832841,BTS_01375,16.565833603077603,107.32958218395378,61.85460891373345,1.237092178274669,149753.263685881,time,"fallback_no_path: No path between (107.83051, 16.288345) and (107.330927, 16.565258)."
POWER_0001,BASE_6,16.2893818,107.832841,BTS_06469,16.41875027032498,107.530415516545,42.69703704502603,0.8963435387138246,161359.45968001042,time,
POWER_0001,BASE_6,16.2893818,107.832841,BTS_02566,16.593750269624984,107.422915516975,63.350880411589365,1.3609945005336348,281893.3377496189,time,
POWER_0001,BASE_6,16.2893818,107.832841,BTS_01215,16.548750269804987,107.462082183485,54.56606050946501,1.1540369969574815,217873.8934892253,time,
POWER_0001,BASE_6,16.2893818,107.832841,BTS_04183,16.322916937374984,107.777915515555,7.476172316728149,0.14952344633456302,18100.206661552365,time,
POWER_0001,BASE_6,16.2893818,107.832841,BTS_03665,16.467083603464975,107.579582183015,36.71317947416838,0.7767188643234919,146943.99019689308,time,
POWER_0001,BASE_6,16.2893818,107.832841,BTS_00225,16.358211056129452,107.73629787105904,14.880268280694485,0.3113041213995493,54759.56203908771,time,
POWER_0001,BASE_6,16.2893818,107.832841,BTS_00292,16.391666937520878,107.71166551581514,19.021604786020475,0.4001303222310597,72990.49503466656,time,
POWER_0001,BASE_6,16.2893818,107.832841,BTS_00985,16.657916936034983,107.382915517135,71.7337398024511,1.5428832534309078,321650.9709764254,time,
POWER_0001,BASE_6,16.2893818,107.832841,BTS_04710,16.41875027032498,107.800415515465,30.26884708544638,0.6661666533005385,156415.0687080282,time,
POWER_0001,BASE_6,16.2893818,107.832841,BTS_00391,16.547916937586876,107.53041551671004,48.631284579745135,1.0531864072259263,227909.2114990003,time,
POWER_0001,BASE_6,16.2893818,107.832841,BTS_03086,16.25583360431753,107.244582184296,62.90166400270698,1.2580332800541396,152288.2391644485,time,"fallback_no_path: No path between (107.83051, 16.288345) and (107.244717, 16.255155)."
POWER_0001,BASE_6,16.2893818,107.832841,BTS_01293,16.275833604237555,107.22041551772664,65.3845345456844,1.307690690913688,158299.39942639382,time,"fallback_no_path: No path between (107.83051, 16.288345) and (107.220428, 16.276113)."
POWER_0001,BASE_6,16.2893818,107.832841,BTS_02343,16.33025027102603,107.75908218262389,9.657068430464038,0.19752522333149475,29375.384543870485,time,
