base_lat,base_lon,site_lat,site_lon,base_id,cow_id,site_id,priority_category,priority_weight,distance_km,travel_time_hr,travel_cost_vnd
16.4619,107.5889,16.472873908455245,107.6106799943142,BASE_1,COW_001,J_00000,residential,9.7,3.110316563570949,0.06220633127141898,7153.728096213183
16.4619,107.5889,16.45396757555403,107.61918797095066,BASE_1,COW_001,J_00001,residential,7.2,3.9390340736852574,0.07878068147370515,9059.778369476093
16.4619,107.5889,16.47154095544053,107.55669854007874,BASE_1,COW_001,J_00002,residential,5.7,4.90845977667605,0.098169195533521,11289.457486354915
16.4619,107.5889,16.463456332330566,107.5546957781065,BASE_1,COW_001,J_00003,residential,5.7,4.552899912402679,0.09105799824805358,10471.669798526162
16.4619,107.5889,16.490724152243274,107.5839987846654,BASE_1,COW_001,J_00004,residential,2.2,4.232634136197737,0.08465268272395474,9735.058513254795
16.4619,107.5889,16.468886116113154,107.5392851750938,BASE_1,COW_001,J_00005,residential,3.7,7.016883287890822,0.14033766575781645,16138.831562148891
16.4619,107.5889,16.459945898804236,107.55707170860308,BASE_1,COW_001,J_00006,residential,5.7,4.092189930352538,0.08184379860705077,9412.036839810839
16.4619,107.5889,16.448139316005754,107.62900374280078,BASE_1,COW_001,J_00007,residential,4.7,5.414013099355018,0.10828026198710036,12452.230128516541
16.4619,107.5889,16.50770560492689,107.5513454513049,BASE_1,COW_001,J_00008,residential,2.2,6.789645909519809,0.13579291819039618,15616.18559189556
16.4619,107.5889,16.535924521807456,107.68855230948328,BASE_1,COW_001,J_00009,normal,1.0,19.080196273667166,0.3816039254733433,43884.451429434484
16.4619,107.5889,16.550328251701867,107.62620844418208,BASE_1,COW_001,J_00010,residential,2.2,12.806226143911898,0.25612452287823795,29454.320130997367
16.4619,107.5889,16.559754907577233,107.61871360688176,BASE_1,COW_001,J_00011,residential,2.2,14.21911987025406,0.2843823974050812,32703.97570158434
16.4619,107.5889,16.523274223294226,107.69330456813202,BASE_1,COW_001,J_00012,normal,1.0,20.584985917926932,0.41169971835853864,47345.46761123194
16.4619,107.5889,16.273160931116365,107.87468923427582,BASE_1,COW_001,J_00013,hospitals,6.0,39.331672774527625,0.7866334554905525,90462.84738141354
16.4619,107.5889,16.52305861296173,107.70145268388114,BASE_1,COW_001,J_00014,normal,1.0,21.033638927446283,0.42067277854892565,48377.36953312645
16.4619,107.5889,16.561389109775824,107.60322552654831,BASE_1,COW_001,J_00015,residential,2.2,14.20398345686588,0.2840796691373176,32669.161950791524
16.4619,107.5889,16.53350103835496,107.54083599980493,BASE_1,COW_001,J_00016,residential,2.2,11.917732766630625,0.2383546553326125,27410.785363250438
16.4619,107.5889,16.54518944601392,107.42752759281646,BASE_1,COW_001,J_00017,residential,3.7,21.580072625114134,0.43160145250228266,49634.167037762505
16.4619,107.5889,16.516409753854667,107.71063204761622,BASE_1,COW_001,J_00018,normal,1.0,22.278102619349013,0.44556205238698027,51239.63602450273
