site_id,latitude,longitude,coverage_radius_m,pop_in_buffer
BTS_06379,16.42541693696498,107.462082183485,2500.0,611.5753784179688
BTS_04100,16.50875026996498,107.475415516765,1000.0,2922.673583984375
BTS_02086,16.378750270898372,107.85416551531996,2500.0,14395.376953125
BTS_03469,16.40958360369498,107.656248849375,2500.0,31496.890625
BTS_01811,16.521250270331453,107.70749884923625,2500.0,9071.37109375
BTS_04382,16.362916937214987,107.53374884986502,2500.0,2426.30224609375
BTS_06467,16.32791693735498,107.179582184615,1000.0,867.7213134765625
BTS_04051,16.561250269754986,107.587915516315,1000.0,3504.66259765625
BTS_06264,16.617916936194984,107.547082183145,2500.0,3729.59130859375
BTS_01417,16.43875027168476,107.61822801477132,1000.0,12500.1552734375
BTS_03164,16.449583603949907,107.77833218228804,2500.0,12599.0849609375
BTS_03546,16.54208360316498,107.48958218337502,1000.0,1241.70361328125
BTS_04745,16.597083603362943,107.3849988505183,1000.0,604.1241455078125
BTS_06371,16.40208360372498,107.628748849485,2500.0,6919.6884765625
BTS_06383,16.312083604084982,107.781248848875,2500.0,12551.3984375
BTS_06171,16.229583604414984,108.082915514335,1500.0,6419.5224609375
BTS_05083,16.475000270107287,107.7537488489126,2500.0,7496.1826171875
BTS_04796,16.472083603444982,107.618748849525,1000.0,3744.4072265625
BTS_04374,16.502639159198278,107.59347107224144,2500.0,69778.9609375
BTS_01168,16.508750270291834,107.72354051567925,2500.0,4723.3212890625
BTS_02041,16.521250271025387,107.59541551645437,2500.0,22373.619140625
BTS_03058,16.422916936974982,107.641248849435,1000.0,8753.134765625
BTS_05808,16.429583603614972,107.596248849615,2500.0,57598.7109375
BTS_06378,16.404583603714983,107.759582182295,2500.0,8645.845703125
BTS_00460,16.501250269994973,107.416248850335,2500.0,5971.7685546875
BTS_06463,16.446250270214982,107.652082182725,2500.0,11167.150390625
BTS_06438,16.460416936824984,107.707915515835,2500.0,6784.333984375
BTS_04944,16.657083602704986,107.473748850105,1000.0,2205.604248046875
BTS_04091,16.276250270894977,107.194582184555,1000.0,783.612548828125
BTS_02131,16.165416938004984,107.714582182475,1000.0,4567.67724609375
BTS_01282,16.707916935834984,107.367082183865,1000.0,1335.636474609375
BTS_02936,16.535694714732383,107.46930440527626,1000.0,3132.850341796875
BTS_01065,16.37416693717719,107.84291551522028,2500.0,13116.3974609375
BTS_00976,16.430416937242374,107.68916551672434,2500.0,16064.236328125
BTS_06333,16.53875026984498,107.609582182895,1000.0,516.47314453125
BTS_03591,16.49041693670498,107.555415516445,1000.0,13595.228515625
BTS_01036,16.581250270092678,107.51166551668142,1000.0,10269.68359375
BTS_03066,16.11708360486498,107.324582184035,1000.0,1017.2318725585938
BTS_01689,16.5175002699375,107.46624885007016,1000.0,3387.675048828125
BTS_05577,16.52708360322498,107.449582183535,1000.0,2062.656982421875
BTS_00191,16.268333606240162,107.8810752365364,2500.0,12973.19921875
BTS_04540,16.465416937220144,107.60833218296386,1000.0,27932.119140625
BTS_01090,16.385416937124983,107.691248849235,1000.0,1891.77490234375
BTS_00102,16.34208360396498,107.765415515605,2500.0,10490.9814453125
BTS_03050,16.25875027096498,107.939582181575,2500.0,8650.3857421875
BTS_04639,16.537083603184985,107.632915516135,1000.0,2701.6748046875
BTS_04842,16.251250270994984,107.942082181565,2500.0,5867.27099609375
BTS_00797,16.327916937354985,107.756248848975,2500.0,15126.396484375
BTS_03581,16.440416936904985,107.714582182475,1000.0,2776.77294921875
BTS_03221,16.358750270564983,107.727915515755,2500.0,19075.99609375
BTS_03740,16.41375027034498,107.471248850115,2500.0,1378.868408203125
BTS_05445,16.572083603044984,107.49458218335502,2500.0,15040.4296875
BTS_04865,16.604583602914985,107.474582183435,2500.0,4678.00634765625
BTS_01446,16.709583602494984,107.361248850555,1000.0,913.5570678710938
BTS_06168,16.488750270044985,107.406248850375,1000.0,961.025146484375
BTS_01033,16.440416936924386,107.78458218199977,2500.0,14852.8583984375
BTS_03684,16.44041693690498,107.788748848845,2500.0,14404.33984375
BTS_01215,16.548750269804987,107.462082183485,1000.0,5519.48681640625
BTS_01111,16.575416936364984,107.551248849795,2500.0,5096.904296875
BTS_06161,16.54041693650499,107.67958218261502,2500.0,11170.56640625
BTS_00158,16.443750270224974,107.795415515485,2500.0,14174.9052734375
BTS_03728,16.57375027012244,107.38166551719824,1000.0,1837.149658203125
BTS_00189,16.349500274888097,107.90783217691848,1000.0,2685.4814453125
BTS_01392,16.382916937134983,107.861248848555,2500.0,12981.349609375
BTS_05097,16.411250270354984,107.582082183005,2500.0,15287.759765625
BTS_05780,16.278750270884984,108.010415514625,2500.0,5720.1220703125
