site_id,latitude,longitude,utm_x,utm_y,pop_covered,pop_unique_covered,overlap_ratio_network,total_unique_pop_network,elevation_m,slope_deg,neighbour_weight,dist_to_school_m,dist_to_hospital_m,dist_to_road_m,dist_to_residential_m,dist_to_industrial_m,site_accessibility_score,antenna_height_m,region_type,bts_type,coverage_radius_m,power_W,status
BTS_06379,16.42541693696498,107.462082183485,762925.8923689101,1817591.6654688509,650.6,1.5033140182495115,81.11014941020868,1163364.75,39,89.98456,0,12173.905002512336,12750.697961346405,32.68475970079785,6165.771306188298,6719.862759289784,0.9836576201496012,19.9,mountain,4G_remote,2500,1200,failed
BTS_04100,16.50875026996498,107.475415516765,764237.4519809533,1826834.5814503743,3516.16,0.0,81.11014941020868,1163364.75,15,89.98658,0,10033.524993030424,6053.165125401521,10.07728110088119,836.8789264360718,735.3237475749779,0.9949613594495594,30.3,mountain,5G_macro,1000,10000,failed
BTS_02086,16.378750270898372,107.85416551531996,804896.5390017106,1812974.0792937009,14926.69,0.0,81.11014941020868,1163364.75,10,89.95974,0,4173.110124949329,26014.29974792712,24.59687739478634,6287.551443799118,6699.799895077318,0.9877015613026068,32.7,mountain,4G_remote,2500,1200,failed
BTS_03469,16.40958360369498,107.656248849375,783696.0588640799,1816100.823860184,33249.16,0.0,81.11014941020868,1163364.75,22,89.99628,0,8928.541152176733,6424.657084667123,100.37424410401532,989.1652259462718,3902.52998248758,0.9498128779479924,34.3,mountain,4G_remote,2500,1200,failed
BTS_01811,16.52125027033145,107.70749884923625,789007.4150047837,1828537.449549421,9929.22,,81.11014941020868,1163364.75,14,89.99252,0,12558.678701395487,11104.981081385173,66.43983712507688,3965.3172133166895,7494.168951697376,0.9667800814374616,30.7,mountain,4G_remote,2500,1200,failed
BTS_04382,16.362916937214983,107.53374884986502,770669.7625355897,1810766.742937654,2567.88,0.0,81.11014941020868,1163364.75,23,89.98752,0,12097.011525559754,12269.75903703558,11.724323457606156,8009.911058046066,9369.635710417491,0.994137838271197,26.2,mountain,4G_remote,2500,1200,failed
BTS_06467,16.32791693735498,107.179582184615,732860.3989792769,1806453.8827317187,944.86,944.8641357421876,81.11014941020868,1163364.75,686,89.99888,0,44151.55227099716,37326.46000487314,182.26702676926624,139.82905586291815,30497.042664449764,0.9088664866153668,24.1,mountain,5G_macro,1000,10000,failed
BTS_04051,16.561250269754986,107.587915516315,776178.2055124389,1832798.0990773868,3635.64,0.0,81.11014941020868,1163364.75,1,89.909966,0,9421.22886942499,8407.528817813982,89.01739455532417,73.01779677920914,5659.707142956261,0.955491302722338,28.3,mountain,5G_macro,1000,10000,failed
BTS_06264,16.617916936194984,107.547082183145,771738.4138596609,1839016.0915158875,3992.65,,81.11014941020868,1163364.75,18,89.98818,0,15776.250012790784,13504.563966153088,94.20258585735156,417.9878746660124,12359.712851949263,0.9528987070713242,25.6,mountain,4G_remote,2500,1200,failed
BTS_01417,16.43875027168476,107.61822801477132,779591.1464448425,1819277.1859149523,13118.26,0.0,81.11014941020868,1163364.75,10,89.990456,0,3741.278455881273,2428.3949674832784,9.34306630338534,0.0,57.58081188011472,0.9953284668483072,18.8,mountain,5G_macro,1000,10000,failed
